requirement_id,tender_id,requirement_text,requirement_category,requirement_subcategory,metric,minimum_value,maximum_value,unit,mandatory,required_document_type,validity_required,verification_type,severity_if_failed,difficulty_level,linguistic_variant
REQ-000051,TND-000003,Documentary evidence of active GST registration shall be furnished.,GST,GST,GST,,,,True,GST Certificate,True,FIELD_MATCH,CRITICAL,MEDIUM,3
REQ-000052,TND-000003,A valid tax identity document is required for eligibility.,PAN,PAN,PAN,,,,True,PAN Document,False,SEMANTIC_MATCH,CRITICAL,MEDIUM,3
REQ-000053,TND-000003,The bidder shall demonstrate a minimum of 3 years of relevant experience.,Experience,Experience,Experience,3.0,,years,True,Experience Certificate,False,THRESHOLD_CHECK,CRITICAL,MEDIUM,3
REQ-000054,TND-000003,Average annual turnover over the specified three-year period shall not be below INR 10.3 crore.,Financial,Financial,Financial,102600000.0,,INR,True,Financial/Turnover Document,False,CROSS_DOCUMENT,CRITICAL,MEDIUM,1
REQ-000055,TND-000003,OEM authorization covering the offered product shall be valid on the bid date.,OEM Authorization,OEM Authorization,OEM Authorization,,,,True,OEM Authorization,True,CROSS_DOCUMENT,CRITICAL,MEDIUM,4
REQ-000056,TND-000003,The bidder claiming MSME status must submit its Udyam certificate.,Udyam/MSME,Udyam/MSME,Udyam/MSME,,,,True,Udyam/MSME Certificate,True,DATE_CHECK,HIGH,MEDIUM,3
REQ-000057,TND-000003,Technical capability relevant to the scope shall be established through supporting evidence.,Technical eligibility,Technical eligibility,Technical eligibility,,,,True,Supporting Document,False,CROSS_DOCUMENT,HIGH,MEDIUM,3
REQ-000058,TND-000003,"Where applicable, the bidder shall provide valid EPFO/ESIC registration evidence.",EPFO/ESIC,EPFO/ESIC,EPFO/ESIC,,,,True,Supporting Document,True,FIELD_MATCH,HIGH,MEDIUM,3
REQ-000059,TND-000003,"Where NSIC benefits are claimed, valid NSIC evidence shall be submitted.",NSIC,NSIC,NSIC,,,,True,Supporting Document,True,SEMANTIC_MATCH,HIGH,MEDIUM,3
REQ-000060,TND-000003,Local-content information relevant to the procurement shall be furnished.,Local Content,Local Content,Local Content,,,,True,Supporting Document,False,CROSS_DOCUMENT,HIGH,MEDIUM,3
REQ-000061,TND-000003,Annual turnover shall be not less than INR 4.8 crore in the latest financial year.,Turnover,Turnover,Turnover,48200000.0,,INR,True,Financial/Turnover Document,False,THRESHOLD_CHECK,HIGH,MEDIUM,1
REQ-000062,TND-000003,"NSIC registration, where relied upon, shall be supported by evidence.",NSIC,NSIC,NSIC,,,,True,Supporting Document,True,SEMANTIC_MATCH,MEDIUM,MEDIUM,4
REQ-000063,TND-000003,A bidder claiming startup status shall submit documentary proof of such status.,Startup India,Startup India,Startup India,,,,True,Supporting Document,False,THRESHOLD_CHECK,MEDIUM,MEDIUM,4
REQ-000064,TND-000003,The supplier shall provide evidence addressing the tender-specific qualification criterion.,Tender-specific,Tender-specific,Tender-specific,2.0,,units,True,Supporting Document,False,SEMANTIC_MATCH,LOW,MEDIUM,1
REQ-000065,TND-000003,The bidder must furnish the applicable legal eligibility declaration.,Legal eligibility,Legal eligibility,Legal eligibility,,,,True,Supporting Document,False,CROSS_DOCUMENT,MEDIUM,MEDIUM,1
REQ-000066,TND-000003,The bidder shall demonstrate latest-year turnover of at least INR 4.5 crore.,Turnover,Turnover,Turnover,45000000.0,,INR,False,Financial/Turnover Document,False,FIELD_MATCH,LOW,MEDIUM,4
REQ-000067,TND-000003,The bidder shall satisfy the tender-specific eligibility condition stated for this procurement.,Tender-specific,Tender-specific,Tender-specific,10.0,,units,False,Supporting Document,False,THRESHOLD_CHECK,LOW,MEDIUM,2
REQ-000068,TND-000003,"Where startup benefits are claimed, supporting startup-status evidence shall be furnished.",Startup India,Startup India,Startup India,,,,False,Supporting Document,False,CROSS_DOCUMENT,HIGH,MEDIUM,3
REQ-000069,TND-000003,A bidder claiming startup status shall submit documentary proof of such status.,Startup India,Startup India,Startup India,,,,False,Supporting Document,False,FIELD_MATCH,HIGH,MEDIUM,2
REQ-000070,TND-000003,"Where applicable, the bidder shall provide valid EPFO/ESIC registration evidence.",EPFO/ESIC,EPFO/ESIC,EPFO/ESIC,,,,False,Supporting Document,True,DATE_CHECK,LOW,MEDIUM,1
REQ-000071,TND-000003,A bidder claiming startup status shall submit documentary proof of such status.,Startup India,Startup India,Startup India,,,,False,Supporting Document,False,CROSS_DOCUMENT,LOW,MEDIUM,4
REQ-000072,TND-000003,"Where NSIC benefits are claimed, valid NSIC evidence shall be submitted.",NSIC,NSIC,NSIC,,,,False,Supporting Document,True,SEMANTIC_MATCH,HIGH,MEDIUM,1
REQ-000073,TND-000003,"NSIC registration, where relied upon, shall be supported by evidence.",NSIC,NSIC,NSIC,,,,False,Supporting Document,True,DATE_CHECK,HIGH,MEDIUM,4
REQ-000120,TND-000006,Valid GST registration is mandatory.,GST,GST,GST,,,,True,GST Certificate,True,SEMANTIC_MATCH,CRITICAL,EASY,4
REQ-000121,TND-000006,The bidder must provide documentary evidence of PAN registration.,PAN,PAN,PAN,,,,True,PAN Document,False,DATE_CHECK,CRITICAL,EASY,4
REQ-000122,TND-000006,The supplier is required to provide evidence of at least 7 years of relevant experience.,Experience,Experience,Experience,7.0,,years,True,Experience Certificate,False,DATE_CHECK,CRITICAL,EASY,4
REQ-000123,TND-000006,Bidder must have a minimum average annual turnover of INR 17.6 crore during the last three financial years.,Financial,Financial,Financial,175900000.0,,INR,True,Financial/Turnover Document,False,SEMANTIC_MATCH,CRITICAL,EASY,4
REQ-000124,TND-000006,Annual turnover shall be not less than INR 6.4 crore in the latest financial year.,Turnover,Turnover,Turnover,63900000.0,,INR,True,Financial/Turnover Document,False,FIELD_MATCH,MEDIUM,EASY,2
REQ-000125,TND-000006,The bidder shall demonstrate the technical capability necessary to perform the contract.,Technical eligibility,Technical eligibility,Technical eligibility,,,,True,Supporting Document,False,THRESHOLD_CHECK,MEDIUM,EASY,4
REQ-000126,TND-000006,The bidder claiming MSME status must submit its Udyam certificate.,Udyam/MSME,Udyam/MSME,Udyam/MSME,,,,True,Udyam/MSME Certificate,True,FIELD_MATCH,HIGH,EASY,3
REQ-000127,TND-000006,"Where applicable, the bidder shall provide valid EPFO/ESIC registration evidence.",EPFO/ESIC,EPFO/ESIC,EPFO/ESIC,,,,True,Supporting Document,True,DATE_CHECK,LOW,EASY,3
REQ-000128,TND-000006,Local-content information relevant to the procurement shall be furnished.,Local Content,Local Content,Local Content,,,,True,Supporting Document,False,CROSS_DOCUMENT,HIGH,EASY,3
REQ-000129,TND-000006,"Where applicable, the bidder shall provide valid EPFO/ESIC registration evidence.",EPFO/ESIC,EPFO/ESIC,EPFO/ESIC,,,,True,Supporting Document,True,CROSS_DOCUMENT,LOW,EASY,1
REQ-000130,TND-000006,A bidder claiming startup status shall submit documentary proof of such status.,Startup India,Startup India,Startup India,,,,True,Supporting Document,False,DATE_CHECK,MEDIUM,EASY,4
REQ-000131,TND-000006,"Where NSIC benefits are claimed, valid NSIC evidence shall be submitted.",NSIC,NSIC,NSIC,,,,True,Supporting Document,True,FIELD_MATCH,LOW,EASY,1
REQ-000132,TND-000006,The bidder shall satisfy the tender-specific eligibility condition stated for this procurement.,Tender-specific,Tender-specific,Tender-specific,1.0,,units,True,Supporting Document,False,FIELD_MATCH,MEDIUM,EASY,3
REQ-000133,TND-000006,Annual turnover shall be not less than INR 16.3 crore in the latest financial year.,Turnover,Turnover,Turnover,163200000.0,,INR,True,Financial/Turnover Document,False,DATE_CHECK,MEDIUM,EASY,4
REQ-000134,TND-000006,The bidder shall provide a declaration of applicable local content.,Local Content,Local Content,Local Content,,,,False,Supporting Document,False,DATE_CHECK,LOW,EASY,1
REQ-000135,TND-000006,The supplier shall provide evidence addressing the tender-specific qualification criterion.,Tender-specific,Tender-specific,Tender-specific,10.0,,units,False,Supporting Document,False,FIELD_MATCH,MEDIUM,EASY,1
REQ-000136,TND-000006,The supplier shall provide evidence addressing the tender-specific qualification criterion.,Tender-specific,Tender-specific,Tender-specific,1.0,,units,False,Supporting Document,False,DATE_CHECK,LOW,EASY,2
REQ-000137,TND-000006,The bidder shall submit the required legal and eligibility declaration.,Legal eligibility,Legal eligibility,Legal eligibility,,,,False,Supporting Document,False,SEMANTIC_MATCH,MEDIUM,EASY,1
REQ-000138,TND-000006,Applicable social-security registration shall be supported with documentary evidence.,EPFO/ESIC,EPFO/ESIC,EPFO/ESIC,,,,False,Supporting Document,True,CROSS_DOCUMENT,MEDIUM,EASY,4
REQ-000139,TND-000006,A bidder claiming startup status shall submit documentary proof of such status.,Startup India,Startup India,Startup India,,,,False,Supporting Document,False,CROSS_DOCUMENT,HIGH,EASY,3
REQ-000140,TND-000006,"Where MSME status is claimed, valid Udyam evidence shall be furnished.",Udyam/MSME,Udyam/MSME,Udyam/MSME,,,,False,Udyam/MSME Certificate,True,SEMANTIC_MATCH,LOW,EASY,3
REQ-000141,TND-000006,A bidder claiming startup status shall submit documentary proof of such status.,Startup India,Startup India,Startup India,,,,False,Supporting Document,False,DATE_CHECK,HIGH,EASY,4
REQ-000142,TND-000006,The bidder must furnish the applicable legal eligibility declaration.,Legal eligibility,Legal eligibility,Legal eligibility,,,,False,Supporting Document,False,SEMANTIC_MATCH,LOW,EASY,1
REQ-000143,TND-000006,"Where startup benefits are claimed, supporting startup-status evidence shall be furnished.",Startup India,Startup India,Startup India,,,,False,Supporting Document,False,SEMANTIC_MATCH,MEDIUM,EASY,4
REQ-000144,TND-000006,"Where MSME status is claimed, valid Udyam evidence shall be furnished.",Udyam/MSME,Udyam/MSME,Udyam/MSME,,,,False,Udyam/MSME Certificate,True,SEMANTIC_MATCH,MEDIUM,EASY,2
REQ-000145,TND-000007,The bidder shall hold an active GST registration.,GST,GST,GST,,,,True,GST Certificate,True,DATE_CHECK,CRITICAL,HARD,4
REQ-000146,TND-000007,A valid PAN document shall be submitted.,PAN,PAN,PAN,,,,True,PAN Document,False,SEMANTIC_MATCH,CRITICAL,HARD,3
REQ-000147,TND-000007,Relevant experience of 2 years or more shall be demonstrated through qualifying completion evidence.,Experience,Experience,Experience,2.0,,years,True,Experience Certificate,False,SEMANTIC_MATCH,CRITICAL,HARD,3
REQ-000148,TND-000007,Average annual turnover over the specified three-year period shall not be below INR 19.7 crore.,Financial,Financial,Financial,196800000.0,,INR,True,Financial/Turnover Document,False,SEMANTIC_MATCH,CRITICAL,HARD,4
REQ-000149,TND-000007,OEM authorization covering the offered product shall be valid on the bid date.,OEM Authorization,OEM Authorization,OEM Authorization,,,,True,OEM Authorization,True,SEMANTIC_MATCH,CRITICAL,HARD,2
REQ-000150,TND-000007,The bidder shall provide a declaration of applicable local content.,Local Content,Local Content,Local Content,,,,True,Supporting Document,False,THRESHOLD_CHECK,MEDIUM,HARD,2
REQ-000151,TND-000007,"NSIC registration, where relied upon, shall be supported by evidence.",NSIC,NSIC,NSIC,,,,True,Supporting Document,True,CROSS_DOCUMENT,LOW,HARD,3
REQ-000152,TND-000007,Applicable social-security registration shall be supported with documentary evidence.,EPFO/ESIC,EPFO/ESIC,EPFO/ESIC,,,,True,Supporting Document,True,FIELD_MATCH,LOW,HARD,4
REQ-000153,TND-000007,"Where MSME status is claimed, valid Udyam evidence shall be furnished.",Udyam/MSME,Udyam/MSME,Udyam/MSME,,,,True,Udyam/MSME Certificate,True,THRESHOLD_CHECK,LOW,HARD,2
REQ-000154,TND-000007,Annual turnover shall be not less than INR 10.9 crore in the latest financial year.,Turnover,Turnover,Turnover,109500000.0,,INR,True,Financial/Turnover Document,False,THRESHOLD_CHECK,LOW,HARD,4
REQ-000155,TND-000007,The bidder shall satisfy the tender-specific eligibility condition stated for this procurement.,Tender-specific,Tender-specific,Tender-specific,5.0,,units,True,Supporting Document,False,THRESHOLD_CHECK,HIGH,HARD,2
REQ-000156,TND-000007,The bidder shall submit the required legal and eligibility declaration.,Legal eligibility,Legal eligibility,Legal eligibility,,,,True,Supporting Document,False,SEMANTIC_MATCH,LOW,HARD,2
REQ-000157,TND-000007,"Where startup benefits are claimed, supporting startup-status evidence shall be furnished.",Startup India,Startup India,Startup India,,,,True,Supporting Document,False,CROSS_DOCUMENT,LOW,HARD,3
REQ-000158,TND-000007,The bidder shall demonstrate the technical capability necessary to perform the contract.,Technical eligibility,Technical eligibility,Technical eligibility,,,,True,Supporting Document,False,CROSS_DOCUMENT,HIGH,HARD,2
REQ-000159,TND-000007,The bidder shall provide a declaration of applicable local content.,Local Content,Local Content,Local Content,,,,True,Supporting Document,False,SEMANTIC_MATCH,HIGH,HARD,2
REQ-000160,TND-000007,"Where startup benefits are claimed, supporting startup-status evidence shall be furnished.",Startup India,Startup India,Startup India,,,,True,Supporting Document,False,DATE_CHECK,HIGH,HARD,3
REQ-000161,TND-000007,"NSIC registration, where relied upon, shall be supported by evidence.",NSIC,NSIC,NSIC,,,,True,Supporting Document,True,DATE_CHECK,HIGH,HARD,2
REQ-000162,TND-000007,The bidder shall demonstrate the technical capability necessary to perform the contract.,Technical eligibility,Technical eligibility,Technical eligibility,,,,True,Supporting Document,False,DATE_CHECK,MEDIUM,HARD,2
REQ-000163,TND-000007,The bidder must furnish the applicable legal eligibility declaration.,Legal eligibility,Legal eligibility,Legal eligibility,,,,True,Supporting Document,False,FIELD_MATCH,LOW,HARD,2
REQ-000164,TND-000007,The supplier shall provide evidence addressing the tender-specific qualification criterion.,Tender-specific,Tender-specific,Tender-specific,1.0,,units,True,Supporting Document,False,FIELD_MATCH,MEDIUM,HARD,4
REQ-000165,TND-000007,The bidder shall demonstrate latest-year turnover of at least INR 15.6 crore.,Turnover,Turnover,Turnover,156000000.0,,INR,False,Financial/Turnover Document,False,SEMANTIC_MATCH,LOW,HARD,1
REQ-000166,TND-000007,A bidder claiming startup status shall submit documentary proof of such status.,Startup India,Startup India,Startup India,,,,False,Supporting Document,False,CROSS_DOCUMENT,MEDIUM,HARD,1
REQ-000167,TND-000007,The bidder shall provide a declaration of applicable local content.,Local Content,Local Content,Local Content,,,,False,Supporting Document,False,FIELD_MATCH,LOW,HARD,2
REQ-000168,TND-000007,The supplier shall provide evidence addressing the tender-specific qualification criterion.,Tender-specific,Tender-specific,Tender-specific,9.0,,units,False,Supporting Document,False,DATE_CHECK,LOW,HARD,4
REQ-000169,TND-000007,"NSIC registration, where relied upon, shall be supported by evidence.",NSIC,NSIC,NSIC,,,,False,Supporting Document,True,SEMANTIC_MATCH,LOW,HARD,3
REQ-000170,TND-000007,The bidder shall provide a declaration of applicable local content.,Local Content,Local Content,Local Content,,,,False,Supporting Document,False,THRESHOLD_CHECK,LOW,HARD,3
REQ-000171,TND-000007,"Where applicable, the bidder shall provide valid EPFO/ESIC registration evidence.",EPFO/ESIC,EPFO/ESIC,EPFO/ESIC,,,,False,Supporting Document,True,DATE_CHECK,MEDIUM,HARD,1
REQ-000172,TND-000007,Applicable social-security registration shall be supported with documentary evidence.,EPFO/ESIC,EPFO/ESIC,EPFO/ESIC,,,,False,Supporting Document,True,SEMANTIC_MATCH,LOW,HARD,3
REQ-000173,TND-000008,The bidder shall hold an active GST registration.,GST,GST,GST,,,,True,GST Certificate,True,FIELD_MATCH,CRITICAL,MEDIUM,3
REQ-000174,TND-000008,A valid tax identity document is required for eligibility.,PAN,PAN,PAN,,,,True,PAN Document,False,THRESHOLD_CHECK,CRITICAL,MEDIUM,1
REQ-000175,TND-000008,The bidder shall demonstrate a minimum of 3 years of relevant experience.,Experience,Experience,Experience,3.0,,years,True,Experience Certificate,False,DATE_CHECK,CRITICAL,MEDIUM,4
REQ-000176,TND-000008,Average annual turnover over the specified three-year period shall not be below INR 14.9 crore.,Financial,Financial,Financial,149500000.0,,INR,True,Financial/Turnover Document,False,DATE_CHECK,CRITICAL,MEDIUM,1
REQ-000177,TND-000008,"Where startup benefits are claimed, supporting startup-status evidence shall be furnished.",Startup India,Startup India,Startup India,,,,True,Supporting Document,False,CROSS_DOCUMENT,HIGH,MEDIUM,4
REQ-000178,TND-000008,"Where NSIC benefits are claimed, valid NSIC evidence shall be submitted.",NSIC,NSIC,NSIC,,,,True,Supporting Document,True,SEMANTIC_MATCH,LOW,MEDIUM,2
REQ-000179,TND-000008,Annual turnover shall be not less than INR 6.5 crore in the latest financial year.,Turnover,Turnover,Turnover,64900000.0,,INR,True,Financial/Turnover Document,False,CROSS_DOCUMENT,HIGH,MEDIUM,2
REQ-000180,TND-000008,The bidder shall provide a declaration of applicable local content.,Local Content,Local Content,Local Content,,,,True,Supporting Document,False,SEMANTIC_MATCH,HIGH,MEDIUM,1
REQ-000181,TND-000008,Technical capability relevant to the scope shall be established through supporting evidence.,Technical eligibility,Technical eligibility,Technical eligibility,,,,True,Supporting Document,False,CROSS_DOCUMENT,MEDIUM,MEDIUM,2
REQ-000182,TND-000008,The supplier shall provide evidence addressing the tender-specific qualification criterion.,Tender-specific,Tender-specific,Tender-specific,3.0,,units,True,Supporting Document,False,DATE_CHECK,LOW,MEDIUM,1
REQ-000183,TND-000008,"MSME classification, where applicable, shall be supported by registration evidence.",Udyam/MSME,Udyam/MSME,Udyam/MSME,,,,True,Udyam/MSME Certificate,True,CROSS_DOCUMENT,LOW,MEDIUM,2
REQ-000184,TND-000008,The bidder must furnish the applicable legal eligibility declaration.,Legal eligibility,Legal eligibility,Legal eligibility,,,,True,Supporting Document,False,SEMANTIC_MATCH,MEDIUM,MEDIUM,3
REQ-000185,TND-000008,Applicable social-security registration shall be supported with documentary evidence.,EPFO/ESIC,EPFO/ESIC,EPFO/ESIC,,,,True,Supporting Document,True,THRESHOLD_CHECK,HIGH,MEDIUM,3
REQ-000186,TND-000008,Technical capability relevant to the scope shall be established through supporting evidence.,Technical eligibility,Technical eligibility,Technical eligibility,,,,True,Supporting Document,False,SEMANTIC_MATCH,LOW,MEDIUM,2
REQ-000187,TND-000008,"NSIC registration, where relied upon, shall be supported by evidence.",NSIC,NSIC,NSIC,,,,True,Supporting Document,True,FIELD_MATCH,LOW,MEDIUM,2
REQ-000188,TND-000008,Local-content information relevant to the procurement shall be furnished.,Local Content,Local Content,Local Content,,,,True,Supporting Document,False,THRESHOLD_CHECK,MEDIUM,MEDIUM,4
REQ-000189,TND-000008,"Where applicable, the bidder shall provide valid EPFO/ESIC registration evidence.",EPFO/ESIC,EPFO/ESIC,EPFO/ESIC,,,,False,Supporting Document,True,FIELD_MATCH,LOW,MEDIUM,4
REQ-000190,TND-000008,A bidder claiming startup status shall submit documentary proof of such status.,Startup India,Startup India,Startup India,,,,False,Supporting Document,False,DATE_CHECK,LOW,MEDIUM,4
REQ-000191,TND-000008,The bidder must furnish the applicable legal eligibility declaration.,Legal eligibility,Legal eligibility,Legal eligibility,,,,False,Supporting Document,False,SEMANTIC_MATCH,LOW,MEDIUM,4
REQ-000192,TND-000008,"Where applicable, the bidder shall provide valid EPFO/ESIC registration evidence.",EPFO/ESIC,EPFO/ESIC,EPFO/ESIC,,,,False,Supporting Document,True,SEMANTIC_MATCH,HIGH,MEDIUM,1
REQ-000193,TND-000008,The bidder shall demonstrate the technical capability necessary to perform the contract.,Technical eligibility,Technical eligibility,Technical eligibility,,,,False,Supporting Document,False,SEMANTIC_MATCH,HIGH,MEDIUM,4
REQ-000194,TND-000008,"NSIC registration, where relied upon, shall be supported by evidence.",NSIC,NSIC,NSIC,,,,False,Supporting Document,True,SEMANTIC_MATCH,LOW,MEDIUM,3
REQ-000195,TND-000008,The bidder must furnish the applicable legal eligibility declaration.,Legal eligibility,Legal eligibility,Legal eligibility,,,,False,Supporting Document,False,SEMANTIC_MATCH,LOW,MEDIUM,4
REQ-000196,TND-000008,The bidder must furnish the applicable legal eligibility declaration.,Legal eligibility,Legal eligibility,Legal eligibility,,,,False,Supporting Document,False,SEMANTIC_MATCH,HIGH,MEDIUM,3
REQ-000197,TND-000008,"Where applicable, the bidder shall provide valid EPFO/ESIC registration evidence.",EPFO/ESIC,EPFO/ESIC,EPFO/ESIC,,,,False,Supporting Document,True,FIELD_MATCH,HIGH,MEDIUM,2
REQ-000198,TND-000008,The bidder shall demonstrate the technical capability necessary to perform the contract.,Technical eligibility,Technical eligibility,Technical eligibility,,,,False,Supporting Document,False,CROSS_DOCUMENT,HIGH,MEDIUM,4
REQ-000199,TND-000008,"Where MSME status is claimed, valid Udyam evidence shall be furnished.",Udyam/MSME,Udyam/MSME,Udyam/MSME,,,,False,Udyam/MSME Certificate,True,THRESHOLD_CHECK,HIGH,MEDIUM,2
REQ-000200,TND-000008,The bidder shall demonstrate latest-year turnover of at least INR 7.4 crore.,Turnover,Turnover,Turnover,74000000.0,,INR,False,Financial/Turnover Document,False,DATE_CHECK,HIGH,MEDIUM,4
REQ-000201,TND-000009,Documentary evidence of active GST registration shall be furnished.,GST,GST,GST,,,,True,GST Certificate,True,SEMANTIC_MATCH,CRITICAL,MEDIUM,1
REQ-000202,TND-000009,The bidder must provide documentary evidence of PAN registration.,PAN,PAN,PAN,,,,True,PAN Document,False,CROSS_DOCUMENT,CRITICAL,MEDIUM,3
REQ-000203,TND-000009,Relevant experience of 6 years or more shall be demonstrated through qualifying completion evidence.,Experience,Experience,Experience,6.0,,years,True,Experience Certificate,False,FIELD_MATCH,CRITICAL,MEDIUM,4
REQ-000204,TND-000009,Average annual turnover over the specified three-year period shall not be below INR 16.9 crore.,Financial,Financial,Financial,169000000.0,,INR,True,Financial/Turnover Document,False,FIELD_MATCH,CRITICAL,MEDIUM,3
REQ-000205,TND-000009,Technical capability relevant to the scope shall be established through supporting evidence.,Technical eligibility,Technical eligibility,Technical eligibility,,,,True,Supporting Document,False,CROSS_DOCUMENT,HIGH,MEDIUM,1
REQ-000206,TND-000009,"Where startup benefits are claimed, supporting startup-status evidence shall be furnished.",Startup India,Startup India,Startup India,,,,True,Supporting Document,False,THRESHOLD_CHECK,MEDIUM,MEDIUM,3
REQ-000207,TND-000009,Annual turnover shall be not less than INR 3.3 crore in the latest financial year.,Turnover,Turnover,Turnover,33300000.0,,INR,True,Financial/Turnover Document,False,SEMANTIC_MATCH,HIGH,MEDIUM,2
REQ-000208,TND-000009,"NSIC registration, where relied upon, shall be supported by evidence.",NSIC,NSIC,NSIC,,,,True,Supporting Document,True,CROSS_DOCUMENT,LOW,MEDIUM,4
REQ-000209,TND-000009,Local-content information relevant to the procurement shall be furnished.,Local Content,Local Content,Local Content,,,,True,Supporting Document,False,DATE_CHECK,HIGH,MEDIUM,2
REQ-000210,TND-000009,"MSME classification, where applicable, shall be supported by registration evidence.",Udyam/MSME,Udyam/MSME,Udyam/MSME,,,,True,Udyam/MSME Certificate,True,SEMANTIC_MATCH,HIGH,MEDIUM,4
